,city,country,coord,id,lng,lat,currentDate,currentTemp,currentHumidity,currentClouds,currentWind
294,aksu,cn,"{'lon': 80.264442, 'lat': 41.123058}",1529660,80.26,41.12,1523725074,38.54,63,0,2.39
295,bethel,us,"{'lon': -81.354828, 'lat': 32.413799}",4182260,-81.35,32.41,1523723700,78.53,61,75,4.7
306,sal rei,cv,"{'lon': -22.91667, 'lat': 16.183331}",3374235,-22.92,16.18,1523721600,75.2,60,40,20.8
307,luderitz,na,"{'lon': 15.15944, 'lat': -26.64806}",3355672,15.16,-26.65,1523725076,61.94,88,0,12.84
308,vestmannaeyjar,is,"{'lon': -20.27339, 'lat': 63.44273}",3412093,-20.27,63.44,1523725076,45.29,97,92,11.9
309,korce,al,"{'lon': 20.78083, 'lat': 40.61861}",782756,20.78,40.62,1523725077,62.21,58,12,5.41
310,babra,in,"{'lon': 71.300003, 'lat': 21.85}",1278054,71.3,21.85,1523724782,89.48,29,0,10.78
311,ust-ordynskiy,ru,"{'lon': 104.750832, 'lat': 52.805}",2013894,104.75,52.8,1523721600,35.6,64,0,8.95
312,tsumeb,na,"{'lon': 17.716669, 'lat': -19.23333}",3352593,17.72,-19.23,1523725078,75.53,50,44,6.08
313,lunenburg,ca,"{'lon': -64.315453, 'lat': 44.38345}",6062069,-64.32,44.38,1523725078,40.88,83,68,12.35
314,taltal,cl,"{'lon': -70.48333, 'lat': -25.4}",3870243,-70.48,-25.4,1523725079,68.69,80,20,3.62
315,chester,ca,"{'lon': -64.248741, 'lat': 44.550152}",5921028,-64.25,44.55,1523721600,41.0,86,90,16.11
316,codrington,ag,"{'lon': -61.8204456, 'lat': 17.6425736}",0,-61.82,17.64,1523725080,79.13,100,0,21.07
317,goderich,sl,"{'lon': -13.285784, 'lat': 8.427560999999999}",0,-13.29,8.43,1523721600,87.8,70,40,8.05
318,mandurah,au,"{'lon': 115.697472, 'lat': -32.628761}",7839601,115.7,-32.63,1523723400,51.8,100,0,4.7
320,lorengau,pg,"{'lon': 147.271194, 'lat': -2.02259}",2092164,147.27,-2.02,1523724825,83.27,100,80,10.04
321,sorong,id,"{'lon': 131.25, 'lat': -0.8833300000000001}",1626542,131.25,-0.88,1523725081,80.57,100,56,3.62
322,attawapiskat,ca,"{'lon': -82.42889219999999, 'lat': 52.9258846}",0,-82.43,52.93,1523725082,15.41,78,0,6.8
323,yulara,au,"{'lon': 130.988907, 'lat': -25.240601}",6355222,130.99,-25.24,1523721600,66.2,34,0,8.05
324,chapada dos guimaraes,br,"{'lon': -55.749722, 'lat': -15.46056}",3466307,-55.75,-15.46,1523725083,85.79,64,0,4.74
325,hendek,tr,"{'lon': 30.74806, 'lat': 40.799438}",745664,30.75,40.8,1523721000,53.6,87,20,11.41
326,mehamn,no,"{'lon': 27.849171, 'lat': 71.035698}",778707,27.85,71.04,1523724817,30.89,92,44,5.01
327,lasa,cn,"{'lon': 91.17210999999999, 'lat': 29.652491}",0,91.17,29.65,1523725084,20.54,52,12,1.83
328,kananga,cd,"{'lon': 22.41778, 'lat': -5.89583}",214481,22.42,-5.9,1523725085,68.24,96,64,4.63
330,bengkulu,id,"{'lon': 102.265541, 'lat': -3.80044}",1649150,102.27,-3.8,1523725086,79.4,100,36,6.42
331,saint-louis,sn,"{'lon': -16.48962, 'lat': 16.017929}",2246452,-16.49,16.02,1523721600,86.0,40,0,9.17
334,san patricio,mx,"{'lon': -104.699997, 'lat': 19.216669}",3985168,-104.7,19.22,1523721300,80.6,69,5,11.41
335,shebunino,ru,"{'lon': 141.860275, 'lat': 46.433891}",2121324,141.86,46.43,1523725088,37.64,100,92,10.16
336,mileai,gr,"{'lon': 23.1506217, 'lat': 39.3280792}",0,23.15,39.33,1523722800,68.0,60,20,6.93
337,port lincoln,au,"{'lon': 135.857483, 'lat': -34.728539}",7839452,135.86,-34.73,1523725089,65.0,91,92,23.91
339,hambantota,lk,"{'lon': 81.1185, 'lat': 6.1241}",1244926,81.12,6.12,1523725089,80.57,100,64,3.74
340,gazanjyk,tm,"{'lon': 55.515362, 'lat': 39.244629}",161974,55.52,39.24,1523725090,52.67,100,92,5.12
341,lexington park,us,"{'lon': -76.453842, 'lat': 38.266788}",4360592,-76.45,38.27,1523724420,77.59,47,1,16.11
342,anadyr,ru,"{'lon': 177.483337, 'lat': 64.75}",2127202,177.48,64.75,1523721600,19.4,85,90,29.08
343,touros,br,"{'lon': -35.460831, 'lat': -5.1988900000000005}",3386213,-35.46,-5.2,1523725091,83.09,90,64,7.14
344,naze,jp,"{'lon': 129.483337, 'lat': 28.366671}",1855540,129.48,28.37,1523725091,69.23,100,92,11.56
345,guerrero negro,mx,"{'lon': -114.061111, 'lat': 27.97694}",4021858,-114.06,27.98,1523725092,78.59,29,0,9.89
346,sakaiminato,jp,"{'lon': 133.233337, 'lat': 35.549999}",1853174,133.23,35.55,1523721600,57.2,82,75,17.22
347,shimoda,jp,"{'lon': 138.949997, 'lat': 34.666672}",1852357,138.95,34.67,1523720700,55.4,100,75,4.7
348,namie,jp,"{'lon': 141, 'lat': 37.48333}",2111704,141.0,37.48,1523725093,58.43,92,92,22.64
349,leshukonskoye,ru,"{'lon': 45.762199, 'lat': 64.898941}",535839,45.76,64.9,1523725094,34.76,74,36,7.25
350,hay river,ca,"{'lon': -115.799927, 'lat': 60.815552}",5972762,-115.8,60.82,1523721600,30.2,86,75,3.51
351,fukue,jp,"{'lon': 128.841934, 'lat': 32.688061}",1863997,128.84,32.69,1523725095,57.89,100,44,31.41
352,noyabrsk,ru,"{'lon': 75.450668, 'lat': 63.19936}",1496503,75.45,63.2,1523725095,25.85,90,88,18.72
353,victoria,sc,"{'lon': 55.450001, 'lat': -4.61667}",241131,55.45,-4.62,1523721600,82.4,78,20,2.24
354,zhezkazgan,kz,"{'lon': 67.7020019, 'lat': 47.79636559999999}",0,67.7,47.8,1523721600,42.8,45,90,26.84
355,kaitangata,nz,"{'lon': 169.8470967, 'lat': -46.28334}",0,169.85,-46.28,1523725097,44.12,70,0,17.65
357,tagusao,ph,"{'lon': 117.814102, 'lat': 9.19238}",1684245,117.81,9.19,1523725098,78.95,95,0,3.51
358,lake cowichan,ca,"{'lon': -124.054611, 'lat': 48.824951}",6048316,-124.05,48.83,1523721600,47.03,81,75,2.24
359,eyl,so,"{'lon': 49.816399, 'lat': 7.9803}",60019,49.82,7.98,1523725099,80.57,100,20,5.08
360,bayir,jo,"{'lon': 36.6793491, 'lat': 30.7617321}",0,36.68,30.76,1523725099,61.94,48,0,8.59
361,tiksi,ru,"{'lon': 128.869446, 'lat': 71.687218}",2015306,128.87,71.69,1523725100,12.17,55,0,6.76
362,korla,cn,"{'lon': 86.146942, 'lat': 41.75972}",1529376,86.15,41.76,1523725100,36.65,82,0,1.72
363,moussoro,td,"{'lon': 16.49007, 'lat': 13.64084}",2427336,16.49,13.64,1523725101,90.02,30,0,4.63
364,warri,ng,"{'lon': 5.75, 'lat': 5.51667}",2319133,5.75,5.52,1523725101,84.8,65,76,10.45
365,ust-ilimsk,ru,"{'lon': 102.661942, 'lat': 58.000561}",2013952,102.66,58.0,1523725102,37.91,97,92,4.85
366,cedar city,us,"{'lon': -113.06189, 'lat': 37.677479}",5536630,-113.06,37.68,1523721180,46.4,33,1,9.17
367,narsaq,gl,"{'lon': -46.049999, 'lat': 60.916672}",3421719,-46.05,60.92,1523721000,28.4,46,40,3.36
368,csurgo,hu,"{'lon': 17.100599, 'lat': 46.253139}",3053863,17.1,46.25,1523722500,69.8,46,0,3.36
369,avera,pf,"{'lon': -151.3509147, 'lat': -22.4791334}",0,-151.35,-22.48,1523725104,79.67,100,56,6.02
370,itapolis,br,"{'lon': -48.812778, 'lat': -21.59556}",3460671,-48.81,-21.6,1523725104,83.09,69,12,5.3
371,mopipi,bw,"{'lon': 24.883329, 'lat': -21.183331}",933288,24.88,-21.18,1523725105,77.51,41,8,8.25
372,klaksvik,fo,"{'lon': -6.58901, 'lat': 62.226551}",2618795,-6.59,62.23,1523723160,46.4,93,75,12.75
373,rayong,th,"{'lon': 101.25798, 'lat': 12.68095}",1607017,101.26,12.68,1523723400,84.2,74,20,9.17
374,berdigestyakh,ru,"{'lon': 126.699173, 'lat': 62.098888}",2026861,126.7,62.1,1523725106,21.44,80,0,4.12
375,sao filipe,cv,"{'lon': -24.49556, 'lat': 14.8961}",3374210,-24.5,14.9,1523725107,71.57,93,0,18.72
376,nibbar,tn,"{'lon': 8.76657, 'lat': 36.294109}",2468459,8.77,36.29,1523721600,64.4,77,40,9.17
377,karratha,au,"{'lon': 116.846291, 'lat': -20.73765}",6620339,116.85,-20.74,1523725108,70.49,22,0,8.88
378,cayenne,gf,"{'lon': -52.334999, 'lat': 4.9386}",6690689,-52.34,4.94,1523723400,82.4,78,88,13.87
380,kodiak,us,"{'lon': -152.407227, 'lat': 57.790001}",5866583,-152.41,57.79,1523721180,44.6,56,1,17.22
381,khapa,in,"{'lon': 78.966667, 'lat': 21.433331}",1267006,78.97,21.43,1523723400,80.6,65,40,6.93
382,otjimbingwe,na,"{'lon': 16.133329, 'lat': -22.35}",3353871,16.13,-22.35,1523725110,68.15,75,0,3.4
383,lakselv,no,"{'lon': 24.971821, 'lat': 70.051331}",779082,24.97,70.05,1523722800,39.2,97,88,8.05
384,byron bay,au,"{'lon': 153.616669, 'lat': -28.65}",2172880,153.62,-28.65,1523723400,73.4,73,0,14.99
385,dunedin,nz,"{'lon': 170.503616, 'lat': -45.874161}",2191562,170.5,-45.87,1523724818,43.22,81,0,16.71
386,savannah bight,hn,"{'lon': -85.849998, 'lat': 16.450001}",3601402,-85.85,16.45,1523725112,83.72,88,0,18.88
387,kushiro,jp,"{'lon': 144.374725, 'lat': 42.974998}",2129376,144.37,42.98,1523724982,33.59,100,92,6.42
389,marsh harbour,bs,"{'lon': -77.063599, 'lat': 26.541241}",3571913,-77.06,26.54,1523725113,79.4,91,0,14.36
390,aragarcas,br,"{'lon': -52.250832, 'lat': -15.8975}",3471840,-52.25,-15.9,1523724853,85.07,59,68,8.77
